StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ITEM_1,ITEM_2,ITEM_3,ITEM_4,ITEM_5,ITEM_6,ITEM_7,ITEM_8,ITEM_9,ITEM_10,SC0,SC1,SC2,SC3,SC4
9/20/2022 13:04,9/20/2022 13:05,IP Address,107.117.176.135,100,56,TRUE,9/20/2022 13:05,R_1ewucKxPl4vFDyZ,,,,,33.8583,-84.2165,anonymous,EN,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,5,10,6,7,9
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.19.61,100,53,TRUE,9/20/2022 13:05,R_32L7mGffPqtsBuJ,,,,,30.4011,-91.2067,anonymous,EN,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,5,10,9,9,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,174.203.66.36,100,60,TRUE,9/20/2022 13:05,R_yJdpcv21LLsVOP7,,,,,28.6344,-81.6221,anonymous,EN,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,3,10,8,6,8
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.72.181,100,70,TRUE,9/20/2022 13:05,R_1kMsXOOQcaQrTcO,,,,,30.0794,-90.4919,anonymous,EN,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,3,10,9,8,8
9/20/2022 13:04,9/20/2022 13:05,IP Address,174.203.69.2,100,55,TRUE,9/20/2022 13:05,R_yUdM3WcmAMbWJZD,,,,,30.4509,-91.1563,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,6,10,7,6,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.45.127,100,51,TRUE,9/20/2022 13:05,R_Q02JEDWgbrwfcCR,,,,,30.4042,-91.1431,anonymous,EN,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,7,10,9,8,6
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.92.170,100,43,TRUE,9/20/2022 13:05,R_eJKG0Hp3ZFbqYBr,,,,,30.8577,-90.1155,anonymous,EN,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,6,10,9,8,9
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.119.188,100,59,TRUE,9/20/2022 13:05,R_1GPrapthsbxCWEQ,,,,,29.8973,-90.2033,anonymous,EN,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,5,10,8,9,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.48.231,100,77,TRUE,9/20/2022 13:05,R_3nCpP8x1ufInidK,,,,,30.4011,-91.2067,anonymous,EN,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,3,8,3,8,3
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.119.221,100,63,TRUE,9/20/2022 13:05,R_1OOEmmmS7msT0OA,,,,,30.3807,-91.1637,anonymous,EN,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,5,9,4,7,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.26.48,100,62,TRUE,9/20/2022 13:05,R_3oX74XfKOf5R3ho,,,,,30.3807,-91.1637,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,7,9,8,6,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.86.60,100,72,TRUE,9/20/2022 13:05,R_3UByAE57nCQM6Sl,,,,,30.4187,-90.0555,anonymous,EN,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,7,10,4,8,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.58.13,100,88,TRUE,9/20/2022 13:05,R_3En8YpfPfdAlslL,,,,,30.4457,-91.1801,anonymous,EN,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,6,9,3,5,5
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.96.207,100,72,TRUE,9/20/2022 13:05,R_2SCV2oQmCjiFmED,,,,,30.4042,-91.1431,anonymous,EN,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,7,9,3,6,4
9/20/2022 13:05,9/20/2022 13:06,IP Address,167.96.52.250,100,55,TRUE,9/20/2022 13:06,R_3Pph0OT71aCBO5e,,,,,30.4011,-91.2067,anonymous,EN,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,8,10,9,6,9
9/20/2022 13:04,9/20/2022 13:06,IP Address,72.41.0.3,100,79,TRUE,9/20/2022 13:06,R_2uCFqUxngB1pEHe,,,,,29.7646,-95.3657,anonymous,EN,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,8,10,7,8,8
9/20/2022 13:04,9/20/2022 13:06,IP Address,167.96.93.217,100,114,TRUE,9/20/2022 13:06,R_12R2Qg1oj42IHjY,,,,,30.4457,-91.1801,anonymous,EN,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,9,10,9,7,8
9/20/2022 13:04,9/20/2022 13:06,IP Address,167.96.19.58,100,103,TRUE,9/20/2022 13:06,R_2EtxiLPJTVFCkRl,,,,,30.4011,-91.2067,anonymous,EN,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,5,10,6,2,10
